rating,is_recommended,eye_color,skin_type,hair_color,product_id
2,0.0,brown,combination,,P467976
2,0.0,brown,combination,,P467976
5,1.0,green,normal,brown,P467976
1,0.0,brown,combination,black,P467976
1,0.0,blue,combination,blonde,P467976
5,1.0,green,combination,black,P467976
5,1.0,green,oily,brown,P467976
1,0.0,brown,combination,brown,P467976
5,1.0,blue,normal,blonde,P467976
5,1.0,hazel,oily,blonde,P467976
5,1.0,blue,normal,blonde,P467976
4,1.0,hazel,normal,brown,P467976
5,1.0,brown,combination,,P467976
5,1.0,,,,P467976
3,0.0,brown,combination,black,P467976
1,0.0,blue,combination,gray,P467976
4,1.0,brown,combination,,P467976
4,1.0,blue,dry,brown,P467976
2,0.0,brown,dry,brown,P467976
5,1.0,,combination,blonde,P467976
2,0.0,brown,oily,black,P467976
4,1.0,brown,combination,brown,P467976
5,1.0,brown,combination,brown,P467976
1,0.0,,,,P467976
1,0.0,,dry,brown,P467976
5,1.0,blue,combination,blonde,P467976
3,0.0,green,oily,blonde,P467976
4,1.0,brown,combination,brown,P467976
5,1.0,brown,oily,black,P467976
4,1.0,brown,combination,brown,P467976
1,0.0,hazel,normal,blonde,P467976
4,1.0,brown,combination,brown,P467976
5,1.0,brown,normal,black,P467976
1,0.0,blue,combination,gray,P467976
4,1.0,brown,normal,brown,P467976
4,1.0,brown,normal,brown,P467976
1,0.0,hazel,combination,black,P467976
3,0.0,brown,combination,brown,P467976
4,0.0,hazel,combination,black,P467976
5,1.0,blue,normal,blonde,P467976
5,1.0,brown,oily,black,P467976
3,0.0,brown,normal,black,P467976
4,1.0,brown,combination,brown,P467976
2,1.0,blue,combination,blonde,P467976
4,1.0,brown,combination,black,P467976
1,0.0,brown,combination,brown,P467976
1,0.0,brown,combination,brown,P467976
1,0.0,brown,oily,black,P467976
2,0.0,brown,oily,black,P467976
1,0.0,brown,oily,brown,P467976
2,0.0,brown,combination,black,P467976
1,0.0,brown,oily,brown,P467976
4,1.0,brown,combination,gray,P467976
1,0.0,,,,P467976
4,1.0,blue,oily,brown,P467976
4,1.0,blue,oily,blonde,P467976
1,0.0,green,dry,auburn,P467976
3,1.0,hazel,combination,auburn,P467976
5,1.0,hazel,normal,brown,P467976
5,1.0,blue,dry,blonde,P467976
3,0.0,blue,combination,brown,P467976
5,1.0,hazel,normal,blonde,P467976
1,0.0,brown,combination,brown,P467976
5,1.0,,normal,red,P467976
3,0.0,brown,oily,brown,P467976
5,1.0,brown,oily,black,P467976
2,0.0,hazel,oily,brown,P467976
4,1.0,brown,dry,blonde,P467976
3,0.0,brown,combination,brown,P467976
5,1.0,brown,combination,brown,P467976
4,1.0,brown,combination,black,P467976
4,1.0,hazel,combination,brown,P467976
2,0.0,blue,dry,brown,P467976
3,0.0,brown,oily,brown,P467976
3,0.0,brown,combination,brown,P467976
1,0.0,brown,oily,black,P467976
2,0.0,brown,combination,brown,P467976
5,1.0,,oily,,P467976
3,1.0,brown,dry,black,P467976
3,1.0,brown,combination,brown,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,blue,dry,brown,P467976
2,0.0,blue,normal,blonde,P467976
5,1.0,blue,combination,blonde,P467976
4,1.0,hazel,combination,black,P467976
5,1.0,hazel,combination,brown,P467976
4,1.0,brown,normal,brown,P467976
4,1.0,brown,combination,black,P467976
4,1.0,brown,oily,brown,P467976
5,1.0,brown,dry,black,P467976
3,0.0,brown,dry,brown,P467976
1,0.0,brown,combination,brown,P467976
5,1.0,brown,combination,brown,P467976
3,0.0,brown,normal,brown,P467976
4,1.0,blue,oily,blonde,P467976
3,0.0,brown,combination,brown,P467976
5,1.0,brown,dry,black,P467976
2,0.0,brown,normal,black,P467976
5,1.0,brown,combination,brown,P467976
4,1.0,brown,combination,black,P467976
5,1.0,brown,combination,black,P467976
5,1.0,,oily,,P467976
5,1.0,brown,dry,black,P467976
5,1.0,brown,dry,brown,P467976
5,1.0,blue,combination,blonde,P467976
4,1.0,green,combination,brown,P467976
5,1.0,,combination,blonde,P467976
5,1.0,brown,oily,brown,P467976
5,1.0,brown,combination,brown,P467976
3,1.0,brown,normal,brown,P467976
2,0.0,brown,dry,black,P467976
5,1.0,brown,oily,brown,P467976
5,1.0,hazel,dry,brown,P467976
5,1.0,hazel,combination,brown,P467976
5,1.0,blue,dry,blonde,P467976
5,1.0,brown,oily,black,P467976
5,1.0,brown,normal,black,P467976
4,1.0,brown,combination,black,P467976
4,1.0,brown,combination,brown,P467976
4,1.0,blue,combination,brown,P467976
4,1.0,blue,oily,brown,P467976
1,0.0,,normal,,P467976
5,1.0,brown,combination,black,P467976
3,1.0,hazel,combination,brown,P467976
3,1.0,brown,oily,brown,P467976
1,0.0,brown,combination,brown,P467976
5,1.0,green,dry,brown,P467976
5,1.0,brown,normal,brown,P467976
5,1.0,hazel,combination,brown,P467976
5,1.0,brown,normal,brown,P467976
1,0.0,brown,combination,brown,P467976
5,1.0,brown,combination,brown,P467976
4,1.0,brown,oily,brown,P467976
5,1.0,hazel,dry,brown,P467976
5,1.0,brown,combination,brown,P467976
4,1.0,brown,oily,black,P467976
5,1.0,hazel,oily,brown,P467976
4,1.0,green,dry,brown,P467976
4,1.0,brown,normal,black,P467976
4,1.0,green,combination,blonde,P467976
3,1.0,brown,normal,brown,P467976
2,0.0,green,normal,brown,P467976
5,1.0,brown,dry,brown,P467976
1,0.0,brown,combination,black,P467976
1,0.0,hazel,normal,auburn,P467976
5,1.0,green,normal,brown,P467976
1,0.0,,,,P467976
5,1.0,brown,combination,brown,P467976
2,0.0,blue,combination,brown,P467976
2,0.0,blue,dry,blonde,P467976
5,1.0,blue,dry,blonde,P467976
5,1.0,brown,dry,brown,P467976
1,0.0,green,combination,blonde,P467976
5,1.0,brown,oily,black,P467976
5,1.0,blue,combination,red,P467976
5,1.0,blue,combination,brown,P467976
5,1.0,hazel,normal,brown,P467976
5,1.0,brown,dry,black,P467976
5,1.0,blue,dry,blonde,P467976
5,1.0,,combination,blonde,P467976
2,0.0,brown,dry,brown,P467976
4,1.0,hazel,dry,red,P467976
5,1.0,blue,combination,red,P467976
5,1.0,brown,combination,black,P467976
4,1.0,brown,oily,brown,P467976
2,0.0,brown,normal,brown,P467976
3,0.0,green,dry,brown,P467976
5,1.0,brown,oily,black,P467976
1,0.0,brown,combination,black,P467976
1,0.0,brown,combination,brown,P467976
4,1.0,green,oily,blonde,P467976
2,0.0,blue,combination,blonde,P467976
1,0.0,brown,oily,black,P467976
1,0.0,blue,combination,blonde,P467976
4,1.0,hazel,combination,brown,P467976
3,0.0,blue,,,P467976
5,1.0,brown,dry,brown,P467976
2,0.0,brown,combination,black,P467976
1,0.0,hazel,combination,blonde,P467976
5,1.0,brown,combination,blonde,P467976
1,0.0,brown,oily,brown,P467976
4,1.0,brown,oily,black,P467976
5,1.0,blue,combination,brown,P467976
5,1.0,brown,combination,black,P467976
5,1.0,brown,oily,black,P467976
5,1.0,green,combination,blonde,P467976
5,1.0,Grey,normal,blonde,P467976
1,0.0,brown,combination,brown,P467976
4,1.0,brown,combination,black,P467976
5,1.0,brown,combination,black,P467976
4,1.0,hazel,combination,brown,P467976
5,1.0,brown,combination,blonde,P467976
2,0.0,brown,combination,brown,P467976
3,1.0,hazel,dry,blonde,P467976
2,0.0,blue,dry,brown,P467976
5,1.0,brown,dry,blonde,P467976
5,1.0,brown,dry,brown,P467976
4,0.0,brown,combination,black,P467976
3,1.0,green,combination,blonde,P467976
5,1.0,blue,normal,blonde,P467976
5,1.0,,,,P467976
5,1.0,brown,dry,blonde,P467976
4,1.0,green,oily,blonde,P467976
5,1.0,hazel,combination,brown,P467976
5,1.0,brown,combination,black,P467976
5,1.0,brown,combination,brown,P467976
4,1.0,brown,combination,black,P467976
4,1.0,,combination,,P467976
5,1.0,hazel,normal,brown,P467976
5,1.0,blue,combination,blonde,P467976
5,1.0,brown,combination,black,P467976
5,1.0,brown,combination,black,P467976
5,1.0,brown,dry,black,P467976
5,1.0,blue,normal,brown,P467976
5,1.0,hazel,combination,brown,P467976
5,1.0,hazel,combination,blonde,P467976
5,1.0,brown,combination,blonde,P467976
4,1.0,brown,oily,brown,P467976
5,1.0,blue,normal,brown,P467976
3,1.0,blue,dry,brown,P467976
5,1.0,blue,normal,blonde,P467976
5,1.0,brown,combination,black,P467976
5,1.0,brown,oily,brown,P467976
5,1.0,hazel,combination,brown,P467976
5,1.0,blue,normal,blonde,P467976
5,1.0,brown,combination,black,P467976
5,1.0,brown,combination,brown,P467976
4,1.0,green,combination,brown,P467976
4,1.0,brown,dry,blonde,P467976
4,1.0,brown,oily,brown,P467976
5,1.0,green,normal,blonde,P467976
4,1.0,brown,combination,brown,P467976
5,1.0,,,,P467976
5,1.0,blue,combination,auburn,P467976
5,1.0,brown,combination,black,P467976
5,1.0,green,combination,auburn,P467976
5,1.0,blue,combination,blonde,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,blue,dry,brown,P467976
5,1.0,brown,dry,black,P467976
5,1.0,blue,combination,blonde,P467976
5,1.0,brown,combination,black,P467976
5,1.0,brown,dry,brown,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,brown,combination,black,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,brown,oily,black,P467976
5,1.0,brown,oily,black,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,brown,combination,auburn,P467976
5,1.0,blue,oily,brown,P467976
4,1.0,brown,combination,black,P467976
5,1.0,green,oily,red,P467976
5,1.0,brown,oily,brown,P467976
5,1.0,brown,dry,black,P467976
5,1.0,brown,oily,brown,P467976
2,0.0,blue,oily,blonde,P467976
5,1.0,hazel,combination,red,P467976
5,1.0,brown,oily,brown,P467976
4,1.0,brown,combination,black,P467976
5,1.0,brown,oily,brown,P467976
5,1.0,brown,combination,brown,P467976
3,0.0,hazel,normal,blonde,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,green,combination,brown,P467976
5,1.0,green,oily,brown,P467976
4,1.0,brown,normal,black,P467976
5,1.0,,combination,,P467976
4,1.0,brown,dry,black,P467976
4,1.0,brown,oily,brown,P467976
5,1.0,hazel,combination,brown,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,brown,combination,black,P467976
5,1.0,brown,combination,blonde,P467976
5,1.0,blue,combination,blonde,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,brown,combination,black,P467976
5,1.0,brown,oily,brown,P467976
4,1.0,brown,combination,brown,P467976
5,1.0,green,combination,brown,P467976
4,1.0,brown,combination,black,P467976
4,1.0,brown,combination,brown,P467976
4,1.0,blue,combination,brown,P467976
5,1.0,brown,dry,black,P467976
5,1.0,blue,combination,red,P467976
5,1.0,brown,dry,brown,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,,combination,black,P467976
5,1.0,brown,combination,black,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,brown,dry,brown,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,blue,combination,brown,P467976
5,1.0,blue,normal,brown,P467976
5,1.0,brown,dry,blonde,P467976
5,1.0,hazel,combination,auburn,P467976
4,1.0,brown,dry,brown,P467976
4,1.0,hazel,combination,black,P467976
5,1.0,brown,combination,black,P467976
4,1.0,brown,combination,auburn,P467976
5,1.0,blue,combination,brown,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,blue,combination,blonde,P467976
5,1.0,brown,oily,brown,P467976
4,1.0,brown,dry,black,P467976
4,1.0,brown,combination,black,P467976
4,1.0,brown,normal,brown,P467976
5,1.0,hazel,combination,brown,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,brown,combination,brown,P467976
3,1.0,brown,combination,brown,P467976
5,1.0,,,,P467976
5,1.0,blue,combination,blonde,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,brown,combination,red,P467976
5,1.0,,,,P467976
5,1.0,brown,oily,brown,P467976
5,1.0,brown,combination,black,P467976
4,1.0,brown,dry,brown,P467976
5,1.0,hazel,dry,blonde,P467976
4,1.0,brown,oily,black,P467976
5,1.0,brown,dry,brown,P467976
4,1.0,brown,combination,black,P467976
5,1.0,,,,P467976
3,0.0,brown,combination,black,P467976
5,1.0,brown,oily,black,P467976
5,1.0,brown,oily,blonde,P467976
4,1.0,brown,combination,brown,P467976
5,1.0,brown,combination,black,P467976
4,1.0,brown,dry,brown,P467976
5,1.0,,,,P467976
4,1.0,blue,combination,brown,P467976
4,1.0,blue,oily,brown,P467976
5,1.0,green,combination,blonde,P467976
5,1.0,brown,combination,brown,P467976
5,1.0,hazel,oily,brown,P467976
4,1.0,,,,P467976
5,1.0,blue,normal,red,P467976
5,1.0,green,combination,blonde,P467976
5,1.0,blue,combination,blonde,P467976
4,1.0,brown,combination,black,P467976
